seal,wavelength,a1,a2,a3
costar-3370,280,3.367,3.35,3.328
costar-3370,282,2.64,2.613,2.621
costar-3370,284,2.211,2.194,2.189
costar-3370,286,1.776,1.763,1.759
costar-3370,288,1.461,1.446,1.45
costar-3370,290,1.285,1.271,1.271
costar-3370,292,1.101,1.092,1.091
costar-3370,294,0.938,0.938,0.932
costar-3370,296,0.795,0.775,0.773
costar-3370,298,0.657,0.657,0.65
costar-3370,300,0.586,0.578,0.579
costar-3370,302,0.531,0.527,0.524
costar-3370,304,0.495,0.491,0.488
costar-3370,306,0.457,0.454,0.452
costar-3370,308,0.434,0.431,0.429
costar-3370,310,0.416,0.41,0.412
costar-3370,312,0.399,0.395,0.395
costar-3370,314,0.385,0.382,0.381
costar-3370,316,0.365,0.362,0.362
costar-3370,318,0.351,0.348,0.347
costar-3370,320,0.336,0.333,0.332
costar-3370,322,0.323,0.32,0.319
costar-3370,324,0.312,0.308,0.308
costar-3370,326,0.303,0.301,0.3
costar-3370,328,0.295,0.293,0.292
costar-3370,330,0.287,0.284,0.283
costar-3370,332,0.275,0.273,0.272
costar-3370,334,0.265,0.262,0.262
costar-3370,336,0.256,0.254,0.253
costar-3370,338,0.248,0.245,0.245
costar-3370,340,0.238,0.235,0.234
costar-3370,342,0.23,0.228,0.227
costar-3370,344,0.224,0.222,0.221
costar-3370,346,0.22,0.217,0.216
costar-3370,348,0.215,0.212,0.212
costar-3370,350,0.21,0.208,0.207
costar-3370,352,0.205,0.203,0.202
costar-3370,354,0.201,0.198,0.197
costar-3370,356,0.195,0.192,0.192
costar-3370,358,0.187,0.185,0.184
costar-3370,360,0.178,0.176,0.176
costar-3370,362,0.169,0.168,0.167
costar-3370,364,0.158,0.157,0.156
costar-3370,366,0.142,0.141,0.14
costar-3370,368,0.127,0.126,0.125
costar-3370,370,0.112,0.113,0.112
costar-3370,372,0.1,0.099,0.097
costar-3370,374,0.091,0.089,0.089
costar-3370,376,0.084,0.083,0.082
costar-3370,378,0.079,0.079,0.077
costar-3370,380,0.075,0.074,0.073
costar-3370,382,0.071,0.07,0.069
costar-3370,384,0.068,0.067,0.066
costar-3370,386,0.065,0.065,0.064
costar-3370,388,0.064,0.063,0.062
costar-3370,390,0.062,0.062,0.06
costar-3370,392,0.061,0.061,0.06
costar-3370,394,0.06,0.06,0.059
costar-3370,396,0.06,0.059,0.058
costar-3370,398,0.059,0.059,0.058
costar-3370,400,0.059,0.058,0.057
costar-3370,402,0.059,0.058,0.057
costar-3370,404,0.058,0.058,0.056
costar-3370,406,0.058,0.057,0.056
costar-3370,408,0.057,0.057,0.056
costar-3370,410,0.057,0.056,0.055
costar-3370,412,0.056,0.056,0.055
costar-3370,414,0.056,0.055,0.054
costar-3370,416,0.056,0.055,0.054
costar-3370,418,0.055,0.055,0.054
costar-3370,420,0.055,0.055,0.053
costar-3370,422,0.055,0.054,0.053
costar-3370,424,0.055,0.054,0.053
costar-3370,426,0.054,0.054,0.053
costar-3370,428,0.054,0.054,0.052
costar-3370,430,0.054,0.053,0.052
costar-3370,432,0.054,0.053,0.052
costar-3370,434,0.053,0.053,0.052
costar-3370,436,0.053,0.053,0.052
costar-3370,438,0.053,0.052,0.051
costar-3370,440,0.053,0.052,0.051
costar-3370,442,0.053,0.052,0.051
costar-3370,444,0.052,0.052,0.051
costar-3370,446,0.052,0.052,0.051
costar-3370,448,0.052,0.052,0.051
costar-3370,450,0.052,0.052,0.051
costar-3370,452,0.052,0.052,0.05
costar-3370,454,0.052,0.052,0.05
costar-3370,456,0.052,0.052,0.05
costar-3370,458,0.052,0.052,0.05
costar-3370,460,0.051,0.052,0.05
costar-3370,462,0.051,0.052,0.05
costar-3370,464,0.051,0.052,0.05
costar-3370,466,0.051,0.051,0.05
costar-3370,468,0.051,0.051,0.05
costar-3370,470,0.051,0.051,0.05
costar-3370,472,0.051,0.051,0.05
costar-3370,474,0.051,0.051,0.05
costar-3370,476,0.051,0.051,0.05
costar-3370,478,0.051,0.051,0.05
costar-3370,480,0.051,0.051,0.049
costar-3370,482,0.051,0.051,0.049
costar-3370,484,0.051,0.05,0.049
costar-3370,486,0.051,0.05,0.049
costar-3370,488,0.051,0.05,0.049
costar-3370,490,0.05,0.05,0.049
costar-3370,492,0.05,0.05,0.049
costar-3370,494,0.051,0.05,0.049
costar-3370,496,0.05,0.05,0.049
costar-3370,498,0.05,0.05,0.049
costar-3370,500,0.05,0.05,0.049
costar-3370,502,0.05,0.05,0.049
costar-3370,504,0.05,0.05,0.049
costar-3370,506,0.05,0.05,0.049
costar-3370,508,0.05,0.05,0.049
costar-3370,510,0.05,0.05,0.049
costar-3370,512,0.05,0.05,0.049
costar-3370,514,0.05,0.05,0.049
costar-3370,516,0.05,0.05,0.049
costar-3370,518,0.05,0.05,0.049
costar-3370,520,0.05,0.05,0.049
costar-3370,522,0.05,0.05,0.049
costar-3370,524,0.05,0.05,0.049
costar-3370,526,0.05,0.05,0.049
costar-3370,528,0.05,0.05,0.049
costar-3370,530,0.05,0.05,0.049
costar-3370,532,0.051,0.05,0.049
costar-3370,534,0.051,0.05,0.049
costar-3370,536,0.051,0.05,0.049
costar-3370,538,0.051,0.05,0.049
costar-3370,540,0.051,0.051,0.049
costar-3370,542,0.051,0.051,0.049
costar-3370,544,0.051,0.051,0.049
costar-3370,546,0.051,0.051,0.05
costar-3370,548,0.051,0.051,0.049
costar-3370,550,0.051,0.051,0.049
costar-3370,552,0.051,0.051,0.05
costar-3370,554,0.051,0.051,0.05
costar-3370,556,0.051,0.051,0.05
costar-3370,558,0.051,0.051,0.05
costar-3370,560,0.051,0.051,0.05
costar-3370,562,0.051,0.051,0.05
costar-3370,564,0.051,0.051,0.05
costar-3370,566,0.051,0.051,0.05
costar-3370,568,0.051,0.051,0.05
costar-3370,570,0.051,0.051,0.049
costar-3370,572,0.051,0.051,0.049
costar-3370,574,0.051,0.05,0.049
costar-3370,576,0.051,0.051,0.049
costar-3370,578,0.051,0.05,0.049
costar-3370,580,0.051,0.05,0.049
costar-3370,582,0.05,0.05,0.049
costar-3370,584,0.05,0.05,0.049
costar-3370,586,0.05,0.05,0.049
costar-3370,588,0.05,0.05,0.049
costar-3370,590,0.05,0.05,0.049
costar-3370,592,0.05,0.05,0.049
costar-3370,594,0.05,0.05,0.049
costar-3370,596,0.05,0.05,0.049
costar-3370,598,0.05,0.05,0.049
costar-3370,600,0.05,0.05,0.049
crs,280,3.513,3.518,3.535
